,base_asset,compare_asset,label
39682,HEPA,PBYI,0
39683,HEPA,PCSA,0
39684,HEPA,PCYG,0
39685,HEPA,PDSB,0
39686,HEPA,PERI,0
39687,HEPA,PFIE,0
39688,HEPA,PFMT,0
39689,HEPA,PFSW,0
39690,HEPA,PHIO,0
39691,HEPA,PHUN,0
39692,HEPA,PLAG,0
39693,HEPA,PLSE,0
39668,HEPA,OPGN,0
39667,HEPA,ONVO,0
39666,HEPA,ONTX,0
39665,HEPA,ONCY,0
39639,HEPA,NETI,0
39640,HEPA,NHTC,0
39641,HEPA,NILE,0
39642,HEPA,NNBR,0
39643,HEPA,NNDM,0
39644,HEPA,NOVN,0
39645,HEPA,NRBO,0
39646,HEPA,NTWK,0
39647,HEPA,NURO,0
39648,HEPA,NUWE,0
39649,HEPA,NVEC,0
39650,HEPA,NVFY,0
39580,HEPA,KTCC,0
39651,HEPA,NVIV,0
39653,HEPA,NXPL,0
39654,HEPA,NXTP,0
39655,HEPA,NYMX,0
39656,HEPA,OBLG,0
39657,HEPA,OCUP,0
39658,HEPA,OESX,0
39659,HEPA,OFED,0
39660,HEPA,OGEN,0
39661,HEPA,OIIM,0
39662,HEPA,OMER,0
39663,HEPA,OMEX,0
39664,HEPA,ONCS,0
39652,HEPA,NWPX,0
39579,HEPA,KPRX,0
39578,HEPA,KOSS,0
39577,HEPA,KNDI,0
39493,GYRO,NSYS,0
39494,GYRO,PERI,0
39495,GYRO,PMCB,0
39496,GYRO,SOTK,0
39497,GYRO,SRGA,0
39498,GYRO,SWKH,0
39499,GYRO,WFCF,0
39500,GYRO,ZIVO,0
39501,HAYN,HFBL,0
39502,HAYN,HMNF,0
39503,HAYN,HSON,0
39504,HAYN,KFFB,0
39505,HAYN,LARK,0
39506,HAYN,LSBK,0
39507,HAYN,MAYS,0
39508,HAYN,MBCN,0
39509,HAYN,MGYR,0
39510,HAYN,MTEM,0
39511,HAYN,OPHC,0
39512,HAYN,OTRK,0
39513,HAYN,PBHC,0
39514,HAYN,PFMT,0
39515,HAYN,PPIH,0
39516,HAYN,RELL,0
39517,HAYN,RNDB,0
39492,GYRO,NOVN,0
39491,GYRO,NERV,0
39490,GYRO,MBRX,0
39489,GYRO,LTRX,0
39463,GWAV,XBIT,0
39464,GWAV,XELA,0
39465,GWAV,XELB,0
39466,GWAV,XSPA,0
39467,GWAV,XTLB,0
39468,GWAV,XTNT,0
39469,GWAV,XXII,0
39470,GWAV,YGYI,0
39471,GWAV,YMTX,0
39472,GWAV,YTEN,0
39473,GWAV,YTRA,0
39474,GWAV,ZDGE,0
39518,HAYN,SAMG,0
39475,GWAV,ZEST,0
39477,GWAV,ZIVO,0
39478,GWAV,ZTEK,0
39479,GWAV,ZYNE,0
39480,GWAV,ZYXI,0
39481,GWRS,LIVE,0
39482,GWRS,LTRX,0
39483,GWRS,MNDO,0
39484,GWRS,WFCF,0
39485,GYRO,HRTG,0
39486,GYRO,INTG,0
39487,GYRO,ISEE,0
39488,GYRO,ISSC,0
39476,GWAV,ZEUS,0
39694,HEPA,PLXP,0
39519,HAYN,SFBC,0
39521,HAYN,TOMZ,0
39552,HEPA,HWBK,0
39553,HEPA,ICCC,0
39554,HEPA,ICMB,0
39555,HEPA,ICPT,0
39556,HEPA,IDEX,0
39557,HEPA,IDXG,0
39558,HEPA,IMMP,0
39559,HEPA,IMUX,0
39560,HEPA,INFI,0
39561,HEPA,INPX,0
39562,HEPA,INSE,0
39563,HEPA,INTG,0
39564,HEPA,ISEE,0
39565,HEPA,ISIG,0
39566,HEPA,ISUN,0
39567,HEPA,IVDA,0
39568,HEPA,JAGX,0
39569,HEPA,JYNT,0
39570,HEPA,KBAL,0
39571,HEPA,KDNY,0
39572,HEPA,KFFB,0
39573,HEPA,KINS,0
39574,HEPA,KIRK,0
39575,HEPA,KMDA,0
39576,HEPA,KMPH,0
39551,HEPA,HUSA,0
39550,HEPA,HTGM,0
39549,HEPA,HSTO,0
39548,HEPA,HSON,0
39522,HBIO,IMMP,0
39523,HBIO,INTT,0
39524,HBIO,LEDS,0
39525,HBIO,LIVE,0
39526,HBIO,MDVL,0
39527,HBIO,OPHC,0
39528,HBIO,SAVA,0
39529,HBIO,SCKT,0
39530,HBIO,SIFY,0
39531,HBIO,SRAX,0
39532,HBIO,SSNT,0
39533,HBIO,SYPR,0
39520,HAYN,SMID,0
39534,HBIO,TSRI,0
39536,HBIO,VTGN,0
39537,HBIO,VTSI,0
39538,HBIO,WVVI,0
39539,HBIO,ZDGE,0
39540,HDSN,KFFB,0
39541,HDSN,LFVN,0
39542,HEPA,HIHO,0
39543,HEPA,HMNF,0
39544,HEPA,HOFT,0
39545,HEPA,HROW,0
39546,HEPA,HRTG,0
39547,HEPA,HSDT,0
39535,HBIO,TURN,0
40398,IBIO,MRIN,0
39695,HEPA,PNBK,0
39697,HEPA,POLA,0
39845,HGEN,LRMR,0
39846,HGEN,MAYS,0
39847,HGEN,MCRB,0
39848,HGEN,MEDS,0
39849,HGEN,MGNX,0
39850,HGEN,MLSS,0
39851,HGEN,MOBQ,0
39852,HGEN,MULN,0
39853,HGEN,NISN,0
39854,HGEN,OCUL,0
39855,HGEN,OESX,0
39856,HGEN,OTRK,0
39857,HGEN,PENN,0
39858,HGEN,PNBK,0
39859,HGEN,PPIH,0
39860,HGEN,PRPL,0
39861,HGEN,QMCO,0
39862,HGEN,QUMU,0
39863,HGEN,SASI,0
39864,HGEN,SOFO,0
39865,HGEN,SRTS,0
39866,HGEN,SYNL,0
39867,HGEN,TKAT,0
39868,HGEN,VVPR,0
39869,HGEN,WEYS,0
39844,HGEN,LOCO,0
39870,HGEN,WKSP,0
39843,HGEN,LFMD,0
39841,HGEN,KMDA,0
39816,HEPA,ZTEK,0
39817,HEPA,ZYNE,0
39818,HFBL,HWBK,0
39819,HFBL,LMST,0
39820,HFBL,MBCN,0
39821,HFBL,MDVL,0
39822,HFBL,MFIN,0
39823,HFBL,RDHL,0
39824,HFBL,SAMG,0
39825,HFBL,SNGX,0
39826,HFBL,SYRS,0
39827,HFBL,USAS,0
39828,HFBL,ZIVO,0
39829,HGBL,INFU,0
39830,HGBL,LAKE,0
39831,HGBL,LIXT,0
39832,HGBL,MOBQ,0
39833,HGBL,SMIT,0
39834,HGBL,SPWH,0
39835,HGBL,UONE,0
39836,HGBL,WILC,0
39837,HGBL,ZYXI,0
39838,HGEN,ICAD,0
39839,HGEN,INSG,0
39840,HGEN,INTZ,0
39842,HGEN,KZIA,0
39871,HGEN,XBIT,0
39872,HIHO,KIRK,0
39873,HIHO,RIGL,0
39904,HNNA,PRTY,0
39905,HNNA,PXLW,0
39906,HNNA,QBAK,0
39907,HNNA,QNRX,0
39908,HNNA,QUAD,0
39909,HNNA,QUIK,0
39910,HNNA,RAIL,0
39911,HNNA,REFR,0
39912,HNNA,RELV,0
39913,HNNA,RMCF,0
39914,HNNA,RRGB,0
39915,HNNA,RYAM,0
39916,HNNA,SELB,0
39917,HNNA,SINT,0
39918,HNNA,SMMT,0
39919,HNNA,SNMP,0
39920,HNNA,TATT,0
39921,HNNA,THTX,0
39922,HNNA,TWIN,0
39923,HNNA,USEG,0
39924,HNNA,VIRX,0
39925,HNNA,VJET,0
39926,HNNA,WATT,0
39927,HNNA,WSTL,0
39928,HNNA,XELB,0
39903,HNNA,PRTH,0
39902,HNNA,PRSO,0
39901,HNNA,PNBK,0
39900,HNNA,PIRS,0
39874,HIHO,STRT,0
39875,HIHO,VXRT,0
39876,HMNF,LMST,0
39877,HNNA,HROW,0
39878,HNNA,IMUX,0
39879,HNNA,KINS,0
39880,HNNA,KMPH,0
39881,HNNA,LGMK,0
39882,HNNA,LNDC,0
39883,HNNA,LTBR,0
39884,HNNA,MNTX,0
39885,HNNA,MOXC,0
39815,HEPA,ZIVO,0
39886,HNNA,NETI,0
39888,HNNA,NMTR,0
39889,HNNA,NOVN,0
39890,HNNA,OCGN,0
39891,HNNA,OCUP,0
39892,HNNA,OFED,0
39893,HNNA,ONCS,0
39894,HNNA,OPOF,0
39895,HNNA,ORGS,0
39896,HNNA,OSUR,0
39897,HNNA,PBPB,0
39898,HNNA,PBYI,0
39899,HNNA,PFIE,0
39887,HNNA,NILE,0
39814,HEPA,ZEUS,0
39813,HEPA,ZEST,0
39812,HEPA,ZDGE,0
39728,HEPA,RSLS,0
39729,HEPA,RZLT,0
39730,HEPA,SANG,0
39731,HEPA,SAVA,0
39732,HEPA,SCKT,0
39733,HEPA,SELF,0
39734,HEPA,SGLY,0
39735,HEPA,SGRP,0
39736,HEPA,SIFY,0
39737,HEPA,SISI,0
39738,HEPA,SLNG,0
39739,HEPA,SLNH,0
39740,HEPA,SMMT,0
39741,HEPA,SNMP,0
39742,HEPA,SNOA,0
39743,HEPA,SPWH,0
39744,HEPA,SRGA,0
39745,HEPA,SRLP,0
39746,HEPA,SRTS,0
39747,HEPA,SSKN,0
39748,HEPA,SSNT,0
39749,HEPA,STAF,0
39750,HEPA,STKS,0
39751,HEPA,SVFD,0
39752,HEPA,SWKH,0
39727,HEPA,RRGB,0
39726,HEPA,RNDB,0
39725,HEPA,RMTI,0
39724,HEPA,RMCF,0
39698,HEPA,POWL,0
39699,HEPA,PPIH,0
39700,HEPA,PRTG,0
39701,HEPA,PRTK,0
39702,HEPA,PRTY,0
39703,HEPA,PSTV,0
39704,HEPA,PTGX,0
39705,HEPA,PULM,0
39706,HEPA,PWFL,0
39707,HEPA,PXLW,0
39708,HEPA,QBAK,0
39709,HEPA,QIPT,0
39753,HEPA,SYRS,0
39710,HEPA,QLGN,0
39712,HEPA,QNRX,0
39713,HEPA,QRHC,0
39714,HEPA,QTNT,0
39715,HEPA,QUBT,0
39716,HEPA,RBBN,0
39717,HEPA,REFR,0
39718,HEPA,RELV,0
39719,HEPA,RFIL,0
39720,HEPA,RIGL,0
39721,HEPA,RIOT,0
39722,HEPA,RKDA,0
39723,HEPA,RMAX,0
39711,HEPA,QMCO,0
39696,HEPA,POET,0
39754,HEPA,TACT,0
